"SubjectID","Exercise","Body Average","Gravity Average","Body Jerk Average","Body Gyro Average","Body Jerk Gyro Average"
1,"LAYING",-0.8419291525,-0.8419291525,-0.9543962646,-0.874759548,-0.96346103
1,"SITTING",-0.948536786170213,-0.948536786170213,-0.987364195531915,-0.93089249,-0.991976341276596
1,"STANDING",-0.984278207358491,-0.984278207358491,-0.992367790566038,-0.976493792830189,-0.994966790566038
1,"WALKING",-0.136971176556842,-0.136971176556842,-0.141428809031579,-0.160979552536842,-0.298703679084211
1,"WALKING_DOWN",0.0271882914106122,0.0271882914106122,-0.0894474807979592,-0.0757412543673469,-0.295463843346939
1,"WALKING_UP",-0.129927630735849,-0.129927630735849,-0.466503446226415,-0.126735589969811,-0.59488286509434
2,"LAYING",-0.977435485208333,-0.977435485208333,-0.987741696041667,-0.950011569583333,-0.991767074166667
2,"SITTING",-0.967893623913043,-0.967893623913043,-0.986774713043478,-0.946035087173913,-0.991081493913043
2,"STANDING",-0.965875181296296,-0.965875181296296,-0.980489077407407,-0.963466341851852,-0.983951904259259
2,"WALKING",-0.290407593728814,-0.290407593728814,-0.281424153881356,-0.446549092881356,-0.547911950338983
2,"WALKING_DOWN",0.0899511204978723,0.0899511204978723,0.00565516335106383,-0.162188586930426,-0.410872671489362
2,"WALKING_UP",-0.107322679520833,-0.107322679520833,-0.321268911041667,-0.219713472958333,-0.572816438541667
3,"LAYING",-0.972791346129032,-0.972791346129032,-0.979484593387097,-0.951564751451613,-0.98671362516129
3,"SITTING",-0.895383350192308,-0.895383350192308,-0.969080752884615,-0.919354372307692,-0.977998051923077
3,"STANDING",-0.925430819016393,-0.925430819016393,-0.959303840327869,-0.892089349344262,-0.962339339672131
3,"WALKING",-0.254690333275862,-0.254690333275862,-0.280009317413793,-0.466411754137931,-0.566135217931034
3,"WALKING_DOWN",-0.0628126118283674,-0.0628126118283674,-0.205239246653061,-0.215294501244898,-0.508567577142857
3,"WALKING_UP",-0.184014895,-0.184014895,-0.436901159491525,-0.347321812220339,-0.658861401355932
4,"LAYING",-0.954557603148148,-0.954557603148148,-0.970095771666667,-0.930236462592593,-0.985068502037037
4,"SITTING",-0.93569482,-0.93569482,-0.9701322836,-0.9260633138,-0.9804904618
4,"STANDING",-0.906478051785714,-0.906478051785714,-0.963370738392857,-0.900982100535714,-0.967614073928571
4,"WALKING",-0.312050574166667,-0.312050574166667,-0.366700879833333,-0.49779220106,-0.6813040365
4,"WALKING_DOWN",-0.0491616726733333,-0.0491616726733333,-0.228851413747333,-0.3466062928,-0.592843014888889
4,"WALKING_UP",-0.153703935357692,-0.153703935357692,-0.400922254807692,-0.299779407884615,-0.686978374423077
5,"LAYING",-0.966777882884615,-0.966777882884615,-0.980141253846154,-0.946938300576923,-0.9864194225
5,"SITTING",-0.9379783225,-0.9379783225,-0.969320155681818,-0.934301646590909,-0.973848287045455
5,"STANDING",-0.906104701071429,-0.906104701071429,-0.956863566071429,-0.900671630714286,-0.958405900892857
5,"WALKING",-0.158338674394643,-0.158338674394643,-0.288333024071429,-0.355933083571429,-0.444532485357143
5,"WALKING_DOWN",0.211138853638298,0.211138853638298,-0.0637528559361702,-0.218029835319149,-0.39719562106383
5,"WALKING_UP",0.0435562021989362,0.0435562021989362,-0.247403476914894,-0.235516929306383,-0.47348816787234
6,"LAYING",-0.918878850824561,-0.918878850824561,-0.954750504912281,-0.908980174736842,-0.955645738245614
6,"SITTING",-0.949543531272727,-0.949543531272727,-0.962733502,-0.932703812181818,-0.962929227818182
6,"STANDING",-0.945022876491228,-0.945022876491228,-0.967102436140351,-0.939404744385965,-0.963406222982456
6,"WALKING",-0.166840713631579,-0.166840713631579,-0.195117026052632,-0.281207841122807,-0.321290483140351
6,"WALKING_DOWN",0.333754731458333,0.333754731458333,0.10384507225,0.0142677821595833,-0.0829366854166667
6,"WALKING_UP",0.0177790974433333,0.0177790974433333,-0.207379799254902,-0.12912124415098,-0.342895367921569
7,"LAYING",-0.936392023846154,-0.936392023846154,-0.980127239615385,-0.915793634807692,-0.983008829038462
7,"SITTING",-0.918432107083333,-0.918432107083333,-0.976559676458333,-0.897870535,-0.981665122291667
7,"STANDING",-0.942724659245283,-0.942724659245283,-0.973381306226415,-0.943425564528302,-0.977377083018868
7,"WALKING",-0.0978090439438596,-0.0978090439438596,-0.192948900438596,-0.305959351403509,-0.300022779964912
7,"WALKING_DOWN",0.0198795285851064,0.0198795285851064,-0.170319619372979,-0.18874081887234,-0.399229959148936
7,"WALKING_UP",-0.198074437978431,-0.198074437978431,-0.458695232352941,-0.239099165627451,-0.661969771960784
8,"LAYING",-0.935308633888889,-0.935308633888889,-0.97314748962963,-0.924253348518518,-0.978438191296296
8,"SITTING",-0.952139704347826,-0.952139704347826,-0.986061512173913,-0.93268224326087,-0.991807428043478
8,"STANDING",-0.953762884074074,-0.953762884074074,-0.984920797777778,-0.952848496851852,-0.987580587777778
8,"WALKING",0.0516786278104167,0.0516786278104167,-0.0668322430433333,-0.00310243820125,-0.339129269583333
8,"WALKING_DOWN",0.176599311818421,0.176599311818421,0.262628490268421,0.0993429744078947,-0.126189142894737
8,"WALKING_UP",0.121026629195122,0.121026629195122,-0.141494613465854,0.166447991,-0.400664014146341
9,"LAYING",-0.9308684376,-0.9308684376,-0.9633745492,-0.9071250998,-0.964524819
9,"SITTING",-0.8933617176,-0.8933617176,-0.964383757,-0.9032355368,-0.9733641366
9,"STANDING",-0.945167482444444,-0.945167482444444,-0.969524578888889,-0.921030223111111,-0.969824044222222
9,"WALKING",-0.0980840496143461,-0.0980840496143461,-0.203733615519231,-0.294542266826923,-0.510253995769231
9,"WALKING_DOWN",0.145886357935714,0.145886357935714,-0.16237608927619,-0.168921400633333,-0.469028434047619
9,"WALKING_UP",-0.260727581428571,-0.260727581428571,-0.440667540204082,-0.0833234490061224,-0.672840561836735
10,"LAYING",-0.956781819655172,-0.956781819655172,-0.976234435172414,-0.937590998793103,-0.970830848965517
10,"SITTING",-0.96075719962963,-0.96075719962963,-0.988054237592593,-0.944202043703704,-0.993707487592593
10,"STANDING",-0.951988907954545,-0.951988907954545,-0.965163818409091,-0.929787259772727,-0.971637661590909
10,"WALKING",-0.127400912069811,-0.127400912069811,-0.132624992298283,-0.156458730358491,-0.440363636603774
10,"WALKING_DOWN",0.250843769394737,0.250843769394737,0.0507010228431579,-0.0238468037578947,-0.401854311315789
10,"WALKING_UP",-0.0266623294757447,-0.0266623294757447,-0.262038042446809,0.0438573846851064,-0.523462968510638
11,"LAYING",-0.980621180175439,-0.980621180175439,-0.983330628421053,-0.952523752105263,-0.990641248245614
11,"SITTING",-0.961970763773585,-0.961970763773585,-0.97935563509434,-0.951884472075472,-0.989519031132076
11,"STANDING",-0.984853836595745,-0.984853836595745,-0.989242377234043,-0.979978011489362,-0.993428183617021
11,"WALKING",-0.288323472033898,-0.288323472033898,-0.402333202033898,-0.421801673559322,-0.63073270559322
11,"WALKING_DOWN",0.126227657258696,0.126227657258696,-0.198206139934783,-0.19788336026087,-0.599294760652174
11,"WALKING_UP",-0.132594623759259,-0.132594623759259,-0.509587701296296,-0.255048336944444,-0.757314813888889
12,"LAYING",-0.9482046755,-0.9482046755,-0.969843834166667,-0.9308405935,-0.971067768833333
12,"SITTING",-0.952176621372549,-0.952176621372549,-0.974734489803922,-0.941907240784314,-0.980392337647059
12,"STANDING",-0.941459935081967,-0.941459935081967,-0.968790683278689,-0.888101372786885,-0.969289973606557
12,"WALKING",-0.102204550448,-0.102204550448,-0.144064922688,-0.35593036512,-0.5174937754
12,"WALKING_DOWN",0.0183139429630435,0.0183139429630435,-0.107091019565217,-0.213351510686957,-0.442831079130435
12,"WALKING_UP",-0.229183927115385,-0.229183927115385,-0.432469300961538,-0.316561585961538,-0.674972132307692
13,"LAYING",-0.960517768225806,-0.960517768225806,-0.985467853870968,-0.944303111935484,-0.98544626483871
13,"SITTING",-0.957690563673469,-0.957690563673469,-0.989497838979592,-0.951142644081633,-0.992604304489796
13,"STANDING",-0.971564243157895,-0.971564243157895,-0.98680002754386,-0.95782537245614,-0.983637634912281
13,"WALKING",-0.135643867842105,-0.135643867842105,-0.133205034736842,-0.218669558421053,-0.303508210175439
13,"WALKING_DOWN",-0.0294634299553191,-0.0294634299553191,-0.127926051502128,-0.102114480531915,-0.323552439276596
13,"WALKING_UP",-0.10115350174,-0.10115350174,-0.456190454,-0.237182958116364,-0.631964902181818
14,"LAYING",-0.905978250196078,-0.905978250196078,-0.972576392941176,-0.904665418431373,-0.975621183137255
14,"SITTING",-0.944197943703704,-0.944197943703704,-0.976521006111111,-0.942756369259259,-0.988317606666667
14,"STANDING",-0.943456847333333,-0.943456847333333,-0.972965788166667,-0.943530016833333,-0.974873328
14,"WALKING",-0.144404671779661,-0.144404671779661,-0.377293155084746,-0.137208741864407,-0.519895046779661
14,"WALKING_DOWN",0.185537706866667,0.185537706866667,0.0353601375466667,0.166340011842444,-0.275120883488889
14,"WALKING_UP",0.140108204051852,0.140108204051852,-0.28366383592037,0.365779419444444,-0.399921949557407
15,"LAYING",-0.955340661527778,-0.955340661527778,-0.979890228194444,-0.944605127222222,-0.983235025416667
15,"SITTING",-0.958669836271186,-0.958669836271186,-0.986107839152542,-0.957331628305085,-0.992188893898305
15,"STANDING",-0.961207616226415,-0.961207616226415,-0.981495125660377,-0.946961381132076,-0.984407077924528
15,"WALKING",-0.186514650759259,-0.186514650759259,-0.320129322962963,-0.243711124444444,-0.543979500555556
15,"WALKING_DOWN",0.320449387166667,0.320449387166667,-0.0372666071540476,-0.121686320740476,-0.509466648095238
15,"WALKING_UP",-0.000971394711666667,-0.000971394711666667,-0.316050382083333,-0.201217274,-0.663637117708333
